time,address,binaryaddress,bank,row,column,delay,command
12357500, 11230208, 00000000101010110101110000000000, 0, 1370, 896, 43750, R
12362500, 11230272, 00000000101010110101110001000000, 0, 1370, 904, 43750, R
12367500, 11230336, 00000000101010110101110010000000, 0, 1370, 912, 43750, R
12372500, 11228352, 00000000101010110101010011000000, 0, 1370, 664, 43750, R
12377500, 82313920, 00000100111010000000001011000000, 0, 10048, 88, 71250, R
12382500, 39958592, 00000010011000011011100001000000, 0, 4877, 776, 113750, R
12387500, 119214912, 00000111000110110001001101000000, 0, 14552, 616, 156250, R
12392500, 33147072, 00000001111110011100100011000000, 0, 4046, 280, 198750, R
12397500, 91844416, 00000101011110010110111101000000, 0, 11211, 488, 241250, R
12402500, 10407808, 00000000100111101100111110000000, 0, 1270, 496, 283750, R
12407500, 74951360, 00000100011101111010101011000000, 0, 9149, 344, 326250, R
12412500, 74951424, 00000100011101111010101100000000, 0, 9149, 352, 326250, R
12417500, 74951488, 00000100011101111010101101000000, 0, 9149, 360, 326250, R
12450000, 74951552, 00000100011101111010101110000000, 0, 9149, 368, 298750, R
12497500, 74951616, 00000100011101111010101111000000, 0, 9149, 376, 256250, R
12545000, 74951680, 00000100011101111010110000000000, 0, 9149, 384, 213750, R
12592500, 74951744, 00000100011101111010110001000000, 0, 9149, 392, 171250, R
12640000, 74951808, 00000100011101111010110010000000, 0, 9149, 400, 128750, R
12687500, 74951872, 00000100011101111010110011000000, 0, 9149, 408, 86250, R
12735000, 74951936, 00000100011101111010110100000000, 0, 9149, 416, 43750, R
12740000, 74952000, 00000100011101111010110101000000, 0, 9149, 424, 43750, R
12745000, 74952064, 00000100011101111010110110000000, 0, 9149, 432, 43750, R
12750000, 74952128, 00000100011101111010110111000000, 0, 9149, 440, 43750, R
12755000, 74952192, 00000100011101111010111000000000, 0, 9149, 448, 43750, R
12760000, 74952256, 00000100011101111010111001000000, 0, 9149, 456, 43750, R
12765000, 74952320, 00000100011101111010111010000000, 0, 9149, 464, 43750, R
12770000, 74952384, 00000100011101111010111011000000, 0, 9149, 472, 43750, R
12775000, 74951296, 00000100011101111010101010000000, 0, 9149, 336, 43750, R
