time,address,binaryaddress,bank,row,column,delay,command
2902500, 43204160, 00000010100100110011111001000000, 0, 5273, 968, 43750, R
2907500, 43204224, 00000010100100110011111010000000, 0, 5273, 976, 43750, R
2912500, 43204288, 00000010100100110011111011000000, 0, 5273, 984, 43750, R
2917500, 43200064, 00000010100100110010111001000000, 0, 5273, 456, 43750, R
2922500, 127709824, 00000111100111001011001010000000, 0, 15589, 592, 71250, R
2927500, 83654208, 00000100111111000111011001000000, 0, 10211, 712, 113750, R
2932500, 49195200, 00000010111011101010100011000000, 0, 6005, 280, 156250, R
2937500, 57083008, 00000011011001110000010010000000, 0, 6968, 144, 198750, R
2942500, 87364288, 00000101001101010001001011000000, 0, 10664, 600, 241250, R
2947500, 11484288, 00000000101011110011110010000000, 0, 1401, 912, 283750, R
2952500, 131978624, 00000111110111011101010110000000, 0, 16110, 688, 326250, R
2957500, 67726720, 00000100000010010110110110000000, 0, 8267, 432, 368750, R
2962500, 132466816, 00000111111001010100100010000000, 0, 16170, 272, 411250, R
2995000, 3098304, 00000000001011110100011011000000, 0, 378, 216, 426250, R
3042500, 93872320, 00000101100110000110000011000000, 0, 11459, 24, 426250, R
3090000, 69561984, 00000100001001010110111010000000, 0, 8491, 464, 426250, R
3137500, 127855552, 00000111100111101110101111000000, 0, 15607, 376, 426250, R
3185000, 40763264, 00000010011011011111111110000000, 0, 4975, 1008, 426250, R
3232500, 88149760, 00000101010000010000111100000000, 0, 10760, 480, 426250, R
3280000, 78442432, 00000100101011001110111111000000, 0, 9575, 504, 426250, R
3327500, 93051200, 00000101100010111101100101000000, 0, 11358, 808, 426250, R
3375000, 53312576, 00000011001011010111110001000000, 0, 6507, 904, 426250, R
3422500, 44688704, 00000010101010011110010101000000, 0, 5455, 168, 426250, R
3470000, 130878528, 00000111110011010000110001000000, 0, 15976, 392, 426250, R
3517500, 94088960, 00000101100110111010111100000000, 0, 11485, 480, 426250, R
3565000, 113576896, 00000110110001010000101111000000, 0, 13864, 376, 426250, R
3612500, 51497792, 00000011000100011100101101000000, 0, 6286, 360, 426250, R
3660000, 64783808, 00000011110111001000010111000000, 0, 7908, 184, 426250, R
3707500, 14465856, 00000000110111001011101101000000, 0, 1765, 872, 426250, R
3755000, 99034176, 00000101111001110010010001000000, 0, 12089, 136, 426250, R
3802500, 59991808, 00000011100100110110011100000000, 0, 7323, 224, 426250, R
3850000, 54951168, 00000011010001100111110100000000, 0, 6707, 928, 426250, R
3897500, 59127424, 00000011100001100011011010000000, 0, 7217, 720, 426250, R
3945000, 75448576, 00000100011111110100000100000000, 0, 9210, 32, 426250, R
3992500, 100065984, 00000101111101101110001011000000, 0, 12215, 88, 426250, R
4040000, 55143296, 00000011010010010110101110000000, 0, 6731, 368, 426250, R
4087500, 41646720, 00000010011110110111101010000000, 0, 5083, 848, 426250, R
4135000, 12847680, 00000000110001000000101001000000, 0, 1568, 328, 426250, R
4182500, 29276416, 00000001101111101011100100000000, 0, 3573, 800, 426250, R
4230000, 33124160, 00000001111110010110111101000000, 0, 4043, 488, 426250, R
4277500, 49635136, 00000010111101010101111101000000, 0, 6058, 1000, 426250, R
4325000, 48963968, 00000010111010110010000110000000, 0, 5977, 48, 426250, R
4372500, 36349824, 00000010001010101010011110000000, 0, 4437, 240, 426250, R
4420000, 27017536, 00000001100111000100000101000000, 0, 3298, 40, 426250, R
4467500, 75630720, 00000100100000100000100010000000, 0, 9232, 272, 426250, R
4515000, 1700608, 00000000000110011111001100000000, 0, 207, 608, 426250, R
4562500, 62233920, 00000011101101011001110101000000, 0, 7596, 936, 426250, R
4610000, 17732736, 00000001000011101001010010000000, 0, 2164, 656, 426250, R
4657500, 31858048, 00000001111001100001110110000000, 0, 3888, 944, 426250, R
